ident,site,code,type_eng,Li,Mg,Al,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Cd,Sn,Sb,Ba,Pb,Bi,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
76,Jenisuv_Ujezd,JEN_5,bracelet,0,0.323143359347949,0.079122859385305,0,0.005951719511284,0.000700202295445,0,0.016104652795239,0.035710317067704,85.6680003419788,0,0.228265948315128,0.038511126249485,0,13.0264934842325,0.06896992610135,0,0.509026062719781,0,0.836272914506566,2.0592312,18.6134954,15.5658748,38.3294908970187
77,Jenisuv_Ujezd,JEN_39,bracelet,0.016312986616391,0,0,0,0.001631298661639,0,0.460569988802766,0.019938094753367,0.072502162739515,88.5628418295718,0,0.162586099943361,0.028638354282108,0,9.50182531444913,0.07920861279292,0,1.09394525738703,0,0.8425008,2.080958,18.5984681,15.6690891,38.7026304316883
78,Jenisuv_Ujezd,JEN_44,bracelet,0,0.063223718314426,0,0,0.003313033274118,0,0,0.064880234951485,0.115956164594143,84.2360796833094,0,0.416613934220387,0.035339021590596,0,7.93893880893804,0.261729628655352,0,6.8639257721521,0,0.8411791,2.080585,18.6290828,15.6705349,38.7593896050639
79,Jenisuv_Ujezd,JEN_45-01,brooch_D,0,0.106958727793486,0.004573892964853,0,0.020406599381652,0.023221302744638,0.384910684888399,0.001759189601867,0.211454590144358,89.7520942976291,0.142846195671563,0,0.010555137611199,0,9.01630409886251,0.014777192655679,0.00105551376112,0.309082576289544,0,0.8463294,2.0838692,18.4628313,15.6254483,38.4741263454458
80,Jenisuv_Ujezd,JEN_45-02,brooch_M,0,0,0,0,0.007922886283705,0,0,0.001320481047284,0.005942164712778,90.7484093732895,0,0,0.010563848378273,0,8.88957744639499,0.015515652305588,0,0.320748147587922,0,0.8580867,2.0968982,18.1785053,15.5988187,38.1184756707287
81,Prague,PRA-01,torc,0,0.35870022030618,0.039770600119235,0,0,0.000764819233062,0.440918287860369,0.000764819233062,0.012237107728996,86.8100422294939,0.220267939121919,0,0.011089878879402,0.000764819233062,9.42230526459495,0.03785855203658,1.55717195851467,1.08734350364455,0,0.834434538779127,2.065558,18.776413,15.667422,38.7837686165975
82,Prague,PRA-02,belt,0,0,0,0,0,0,0.097515159389514,0.013716671356208,0.334732887549821,85.1079114501672,0.025589084378809,0.206326401072376,0.026395947399762,0,13.793872010053,0.117456202621648,0.014408268231311,0.259078997988219,0,0.854140697164785,2.098547,18.331115,15.65695,38.4687070829872
83,Prague,PRA-03,bracelet,0,0,0.148703187633682,0,0,0,0.086006708523265,0.002411403042708,0.024649897769908,86.300095893461,0,0.117890815421298,0.007770076470949,0,13.2242146663141,0.037778647669098,0.00133966835706,0.041636892537431,0,0.854084888877888,2.097467,18.289688,15.620759,38.362018306227
84,Prague,PRA-04,bracelet,0,0,0,0,0,0,1.16483006129989,0.009817044276758,0.054371322148196,80.9181201870524,0,0.278275447383475,0.032471761838506,0,13.220273706746,0.064188366424954,0.019634088553515,4.23839559290228,0,0.844367283768922,2.082481,18.51657,15.634977,38.5604144800116
85,Prague,PRA-05,bracelet,0,0,0,0,0,0,0.319699814043118,0.005162396074514,0.032080604177337,87.0951529157029,0,0.178471407147485,0.009587306995526,0,12.1984838042729,0.036505515098349,0.087760733266738,0.030458136839633,0,0.85414395062215,2.098216,18.29412,15.625812,38.3850135509408
86,Prague,PRA-06,belt,0,0,0.258556898933535,0,0,-0.000204770511299,0.102316998812399,0.07358087039344,0.058564366231514,82.1203467693049,0,0.117060475625927,0.020886592152498,0,15.2087358922503,0.042797036861491,0.006825683709967,1.98725685805452,0,0.839599684012931,2.080344,18.649873,15.658719,38.7981500155545
87,Prague,PRA-07,belt,0,0.150613572065252,0.047233842126973,0,0,0.000891204568433,0.452583386669451,0.080505479348488,1.17193400748998,85.2597586528908,0.141850060475657,0.684742176746364,0.054066410484962,0,11.5763463018947,0.336429724583625,0.006981102452729,0.028488839370923,0,0.847238561533066,2.085417,18.455286,15.635375,38.4869682080234
88,Prague,PRA-08,brooch_D,0,0.036793394705318,0.141530420124136,0.028215793485673,0.009706232959072,0.005643158697135,0.491180532998597,0.001805810783083,0.007223243132332,88.4865341818537,0.012866401829467,0,0.025507077311049,0,10.5674466941586,0.076521231933145,0,0.109025826028641,0,0.853095094243711,2.094493,18.311104,15.620932,38.3524749459298
89,Prague,PRA-09,bracelet,0,0.09660270695729,0,0.01868008145583,0.015477781777687,0.005070307823725,0.342912923867727,-0.000266858306512,0.02882069710328,87.8217343815172,0,0,0.007738890888844,0,11.5964077669644,0.040295604283289,0,0.026525715667278,0,0.847232611072066,2.083454,18.4221,15.607545,38.3815988831646
90,Prague,PRA-10,brooch_D,0,0.083146140305914,0,0.009365361957534,0.00616743348423,0.004796892709957,0.066928074477013,0.001370540774273,0.011649596581323,87.5565405175253,0.037004600905379,0.11055695579138,0.078806094520715,0,11.8761469713105,0.058704829831373,0,0.098815989825105,0,0.841985195421348,2.078011,18.490547,15.569009,38.4235547389126
91,Prague,PRA-11,brooch_D,0,0.194511334731221,0,0.001667240011982,0.005835340041937,0.004445973365285,0,0.02584222018572,0.130044720934588,86.1393445857214,0,0.270926501947058,0.110037840790805,0,8.93273853619661,0.190898981371927,0,3.99370672470144,0,0.840820978814132,2.078714,18.636518,15.669976,38.739987404925
92,Prague,PRA-12,torc,0,0,0,0,0.00258810907912,0.001912950188915,0.025093405419298,0.017104025218535,0.179029632386112,79.6133860152314,0,0.216163371347404,0.023292981712084,0,9.94681210789444,0.144934108430743,0,9.82968329309199,0,0.848274742941374,2.08587,18.416416,15.621584,38.4142523074819
